Date,Number of domestic air passengers
01/01/2003,43032450
02/01/2003,41166780
03/01/2003,49992700
04/01/2003,47033260
05/01/2003,49152352
06/01/2003,52209516
07/01/2003,55810773
08/01/2003,53920973
09/01/2003,44213408
10/01/2003,49944931
11/01/2003,47059495
12/01/2003,49757124
01/01/2004,43815481
02/01/2004,45306597
03/01/2004,54147227
04/01/2004,53253194
05/01/2004,53030873
06/01/2004,56959142
07/01/2004,59614287
08/01/2004,57380873
09/01/2004,47671785
10/01/2004,54167489
11/01/2004,51781700
12/01/2004,52639838
01/01/2005,47977657
02/01/2005,47074882
03/01/2005,58838975
04/01/2005,54908859
05/01/2005,57323876
06/01/2005,59724061
07/01/2005,62396446
08/01/2005,59110633
09/01/2005,50600325
10/01/2005,53738093
11/01/2005,52766404
12/01/2005,52801276
01/01/2006,48886043
02/01/2006,47348142
03/01/2006,58286011
04/01/2006,55828555
05/01/2006,57145193
06/01/2006,59297121
07/01/2006,60838606
08/01/2006,58303233
09/01/2006,49949551
10/01/2006,55088983
11/01/2006,53852209
12/01/2006,53538970
01/01/2007,50022168
02/01/2007,47766421
03/01/2007,59244232
04/01/2007,57396328
05/01/2007,59283597
06/01/2007,61493934
07/01/2007,63457403
08/01/2007,62657667
09/01/2007,52308015
10/01/2007,57206249
11/01/2007,55044206
12/01/2007,53288538
01/01/2008,50245100
02/01/2008,50118363
03/01/2008,59213077
04/01/2008,55611053
05/01/2008,58047400
06/01/2008,59559171
07/01/2008,61401480
08/01/2008,58966473
09/01/2008,47680001
10/01/2008,52956023
11/01/2008,47658141
12/01/2008,50253658
01/01/2009,44821711
02/01/2009,43677233
03/01/2009,53531487
04/01/2009,52245401
05/01/2009,52948582
06/01/2009,55898027
07/01/2009,59468957
08/01/2009,56568180
09/01/2009,48235025
10/01/2009,52279405
11/01/2009,48584832
12/01/2009,49793438
01/01/2010,45501620
02/01/2010,42440614
03/01/2010,54424077
04/01/2010,52498074
05/01/2010,53842422
06/01/2010,56689853
07/01/2010,59142493
08/01/2010,57370748
09/01/2010,50304708
10/01/2010,54826050
11/01/2010,51420350
12/01/2010,51076415
01/01/2011,46304921
02/01/2011,43657818
03/01/2011,55649428
04/01/2011,52858479
05/01/2011,55982234
06/01/2011,57778699
07/01/2011,60310295
08/01/2011,57403835
09/01/2011,50982170
10/01/2011,54124363
11/01/2011,51660083
12/01/2011,51534907
01/01/2012,47080430
02/01/2012,46405102
03/01/2012,56200104
04/01/2012,53691455
05/01/2012,55749349
06/01/2012,57903293
07/01/2012,59688267
08/01/2012,58646304
09/01/2012,50134504
10/01/2012,53779646
11/01/2012,51844482
12/01/2012,51165451
01/01/2013,47816859
02/01/2013,45740158
03/01/2013,56564538
04/01/2013,53228575
05/01/2013,56562929
06/01/2013,57990789
07/01/2013,59310478
08/01/2013,58115405
09/01/2013,50766098
10/01/2013,54706177
11/01/2013,50542332
12/01/2013,54332936
01/01/2014,47957371
02/01/2014,45513184
03/01/2014,57761938
04/01/2014,55247482
05/01/2014,57888637
06/01/2014,59261855
07/01/2014,61757222
08/01/2014,59758814
09/01/2014,52529329
10/01/2014,57084257
11/01/2014,52577733
12/01/2014,55486727
01/01/2015,49727583
02/01/2015,47164538
03/01/2015,59557228
04/01/2015,57698044
05/01/2015,60251945
06/01/2015,61810705
07/01/2015,65128528
08/01/2015,62770180
09/01/2015,55989104
10/01/2015,60892131
11/01/2015,57150501
12/01/2015,57870281
01/01/2016,52473830
02/01/2016,51111121
03/01/2016,61592900
04/01/2016,58893676
05/01/2016,62752121
06/01/2016,64757222
07/01/2016,66134540
08/01/2016,63498165
09/01/2016,58619844
10/01/2016,61708696
11/01/2016,59269062
12/01/2016,59178183
01/01/2017,54108732
02/01/2017,51077566
03/01/2017,63963230
04/01/2017,61098649
05/01/2017,64442559
06/01/2017,66746003
07/01/2017,68574097
08/01/2017,66663503
09/01/2017,57143966
10/01/2017,64624806
11/01/2017,61911285
12/01/2017,61373581
01/01/2018,55829992
02/01/2018,54077854
03/01/2018,66643229
04/01/2018,64556900
05/01/2018,67844134
06/01/2018,70277734
07/01/2018,72539780
08/01/2018,70337936
09/01/2018,60468115
10/01/2018,67081594
11/01/2018,64659493
12/01/2018,63646119
01/01/2019,58033637
02/01/2019,55679100
03/01/2019,70233456
04/01/2019,66938177
05/01/2019,71363514
06/01/2019,72789897
07/01/2019,75281255
08/01/2019,72715566
09/01/2019,63979337
10/01/2019,69922300
11/01/2019,64816897
12/01/2019,69718631
